Date,Open,High,Low,Close,Adj Close,Volume
16-04-2018,28,28.27,27.93,28.17,28.087406,242700
17-04-2018,28.25,28.4,28.16,28.299999,28.217026,125500
18-04-2018,28.32,28.549999,28.32,28.459999,28.376556,57500
19-04-2018,28.360001,28.51,28.27,28.32,28.236967,35000
20-04-2018,28.25,28.540001,28.16,28.450001,28.366587,97300
23-04-2018,28.459999,28.469999,28.110001,28.23,28.14723,77000
24-04-2018,28.360001,28.93,28.35,28.58,28.496204,123200
25-04-2018,28.35,28.959999,27.139999,27.57,27.489166,308200
26-04-2018,27.540001,27.65,26.559999,26.66,26.581835,277500
27-04-2018,26.690001,27.18,26.690001,26.85,26.771278,173600
30-04-2018,26.77,26.950001,25.889999,26.030001,25.953682,151500
01-05-2018,26.01,26.32,25.450001,26.27,26.192978,164900
02-05-2018,26.24,26.43,26.040001,26.27,26.192978,118200
03-05-2018,26.110001,26.24,25.66,25.68,25.604708,712600
04-05-2018,25.690001,26.190001,25.58,26.08,26.003534,199000
07-05-2018,26.049999,26.49,25.77,26.059999,25.983593,58800
08-05-2018,26.02,26.120001,25.76,25.889999,25.814091,64000
09-05-2018,25.860001,25.98,25.709999,25.73,25.65456,93100
10-05-2018,25.709999,25.709999,25.360001,25.58,25.505001,140900
11-05-2018,25.389999,25.719999,25.370001,25.700001,25.700001,90800
14-05-2018,25.700001,25.790001,25.469999,25.540001,25.540001,106100
